Ngày giao dịch,Mã sản phẩm,Danh mục sản phẩm,Số lượng bán,Giá bán,Doanh thu
2023-12-11,SP00238,Giày,2,1480960,2961920
2023-12-11,SP00306,Áo,1,889674,889674
2023-04-29,SP00098,Áo,8,1717197,13737576
2023-05-29,SP00020,Đầm,9,1374512,12370608
2023-02-22,SP00094,Áo,1,995393,995393
2023-01-16,SP00280,Giày,1,1519029,1519029
2023-07-05,SP00313,Váy,10,667020,6670200
2023-12-11,SP00101,Áo,4,963087,3852348
2023-03-24,SP00452,Áo,3,1695194,5085582
2023-12-14,SP00476,Mũ,5,179820,899100
2023-03-20,SP00414,Giày,10,451042,4510420
2023-06-18,SP00091,Phụ kiện,6,306650,1839900
2023-07-10,SP00174,Áo,2,567327,1134654
2023-09-04,SP00379,Phụ kiện,4,1608215,6432860
2023-05-19,SP00474,Túi xách,7,840128,5880896
2023-05-26,SP00419,Quần,4,1709861,6839444
2023-11-10,SP00471,Giày,6,1292365,7754190
2023-09-02,SP00271,Quần,4,1836812,7347248
2023-07-05,SP00337,Phụ kiện,7,357805,2504635
2023-02-08,SP00308,Váy,7,1324845,9273915
2023-05-11,SP00096,Giày,3,509535,1528605
2023-10-24,SP00330,Giày,7,1595587,11169109
2023-07-24,SP00277,Phụ kiện,4,962203,3848812
2023-11-23,SP00191,Túi xách,8,894288,7154304
2023-06-11,SP00174,Đầm,5,1296650,6483250
2023-11-30,SP00154,Mũ,9,123377,1110393
2023-05-02,SP00140,Phụ kiện,8,925067,7400536
2023-07-12,SP00231,Phụ kiện,8,1322366,10578928
2023-11-26,SP00375,Đầm,3,455645,1366935
2023-12-18,SP00114,Đầm,4,1840086,7360344
2023-07-20,SP00182,Giày,6,397231,2383386
2023-01-26,SP00247,Quần,9,880996,7928964
2023-01-18,SP00009,Giày,2,811160,1622320
2023-03-05,SP00198,Váy,9,1931174,17380566
2023-02-18,SP00171,Phụ kiện,9,701908,6317172
2023-12-02,SP00208,Áo,5,1808968,9044840
2023-06-30,SP00224,Phụ kiện,8,944897,7559176
2023-11-10,SP00071,Phụ kiện,10,1012324,10123240
2023-06-09,SP00475,Mũ,1,1285532,1285532
2023-11-14,SP00087,Đầm,9,100164,901476
2023-04-30,SP00250,Đầm,5,960822,4804110
2023-05-18,SP00289,Quần,10,1014265,10142650
2023-11-06,SP00421,Mũ,5,1119307,5596535
2023-09-13,SP00067,Phụ kiện,6,686625,4119750
2023-10-26,SP00455,Áo,5,938126,4690630
2023-02-01,SP00073,Túi xách,5,930012,4650060
2023-11-10,SP00199,Mũ,1,100477,100477
2023-03-14,SP00054,Đầm,9,760715,6846435
2023-11-26,SP00407,Váy,2,1315927,2631854
2023-12-14,SP00216,Áo,7,1856066,12992462
2023-04-23,SP00386,Áo,4,1681220,6724880
2023-03-14,SP00392,Áo,9,886798,7981182
2023-03-02,SP00233,Đầm,2,1974777,3949554
2023-10-10,SP00210,Giày,8,381351,3050808
2023-02-15,SP00036,Phụ kiện,2,1218278,2436556
2023-03-05,SP00197,Giày,2,1789531,3579062
2023-01-01,SP00234,Phụ kiện,4,1098891,4395564
2023-06-17,SP00463,Áo,4,769582,3078328
2023-09-01,SP00406,Mũ,7,1657931,11605517
2023-01-22,SP00040,Quần,3,888024,2664072
2023-08-29,SP00460,Đầm,7,822950,5760650
2023-09-07,SP00446,Quần,1,1095597,1095597
2023-06-10,SP00176,Đầm,6,1339916,8039496
2023-05-23,SP00339,Giày,7,480294,3362058
2023-09-28,SP00282,Quần,1,554104,554104
2023-12-08,SP00306,Phụ kiện,4,1516935,6067740
2023-02-12,SP00152,Quần,4,750829,3003316
2023-10-16,SP00300,Mũ,5,261977,1309885
2023-06-23,SP00198,Mũ,6,1204395,7226370
2023-02-15,SP00319,Phụ kiện,8,813471,6507768
2023-08-25,SP00270,Áo,7,835384,5847688
2023-01-11,SP00399,Giày,8,892052,7136416
2023-06-17,SP00399,Đầm,8,1596690,12773520
2023-10-17,SP00203,Váy,6,1952804,11716824
2023-09-26,SP00481,Mũ,5,1883974,9419870
2023-06-10,SP00274,Mũ,9,1107314,9965826
2023-07-28,SP00136,Phụ kiện,7,796672,5576704
2023-04-28,SP00187,Giày,4,218721,874884
2023-02-03,SP00404,Mũ,4,1866518,7466072
2023-11-20,SP00008,Phụ kiện,1,986757,986757
2023-11-30,SP00415,Áo,3,317955,953865
2023-08-18,SP00181,Áo,6,706088,4236528
2023-05-04,SP00483,Phụ kiện,3,1917896,5753688
2023-12-27,SP00031,Túi xách,2,1576096,3152192
2023-05-11,SP00226,Túi xách,8,1098243,8785944
2023-05-28,SP00436,Túi xách,7,453883,3177181
2023-11-21,SP00160,Váy,8,831981,6655848
2023-11-09,SP00063,Phụ kiện,6,931399,5588394
2023-10-04,SP00438,Quần,10,505829,5058290
2023-07-06,SP00095,Giày,5,308545,1542725
2023-10-29,SP00131,Mũ,7,480444,3363108
2023-11-25,SP00498,Áo,6,791177,4747062
2023-02-27,SP00215,Mũ,6,1602953,9617718
2023-06-16,SP00289,Túi xách,5,1875983,9379915
2023-11-06,SP00113,Đầm,1,579418,579418
2023-09-22,SP00374,Phụ kiện,5,485639,2428195
2023-05-04,SP00242,Túi xách,4,1886035,7544140
2023-06-13,SP00339,Đầm,8,1735994,13887952
2023-02-13,SP00492,Phụ kiện,6,824835,4949010
2023-04-19,SP00155,Váy,5,1982892,9914460
2023-02-03,SP00480,Túi xách,6,1818298,10909788
2023-11-30,SP00187,Váy,1,923934,923934
2023-01-16,SP00281,Quần,2,1201152,2402304
2023-02-18,SP00464,Quần,9,490580,4415220
2023-07-16,SP00058,Túi xách,5,1824227,9121135
2023-12-16,SP00464,Váy,5,966444,4832220
2023-09-12,SP00063,Áo,9,1728229,15554061
2023-12-09,SP00451,Quần,10,1998201,19982010
2023-08-13,SP00418,Đầm,9,630395,5673555
2023-06-28,SP00010,Túi xách,7,1430020,10010140
2023-04-14,SP00402,Giày,4,778750,3115000
2023-09-22,SP00478,Giày,6,252753,1516518
2023-07-03,SP00350,Váy,3,947982,2843946
2023-07-27,SP00061,Áo,5,1737138,8685690
2023-10-19,SP00182,Mũ,6,1495514,8973084
2023-02-19,SP00479,Váy,8,643645,5149160
2023-05-04,SP00363,Áo,9,733256,6599304
2023-07-01,SP00245,Túi xách,6,870870,5225220
2023-03-08,SP00259,Giày,9,502057,4518513
2023-04-21,SP00161,Giày,9,632678,5694102
2023-06-08,SP00075,Phụ kiện,1,387403,387403
2023-03-30,SP00398,Áo,8,1237785,9902280
2023-07-15,SP00417,Giày,4,1747785,6991140
2023-10-19,SP00139,Phụ kiện,7,643114,4501798
2023-04-30,SP00401,Phụ kiện,8,229840,1838720
2023-02-01,SP00202,Váy,8,1033743,8269944
2023-09-12,SP00450,Váy,9,1845365,16608285
2023-08-26,SP00421,Quần,9,738652,6647868
2023-11-29,SP00055,Giày,1,628800,628800
2023-06-06,SP00482,Đầm,9,398330,3584970
2023-03-15,SP00226,Áo,9,1407073,12663657
2023-03-24,SP00233,Đầm,2,1305860,2611720
2023-01-24,SP00302,Phụ kiện,7,1294206,9059442
2023-11-14,SP00250,Mũ,2,1738078,3476156
2023-05-07,SP00485,Mũ,3,153087,459261
2023-05-09,SP00307,Quần,7,1071486,7500402
2023-12-12,SP00490,Đầm,8,483818,3870544
2023-08-02,SP00008,Mũ,8,1594672,12757376
2023-09-01,SP00423,Túi xách,9,1328217,11953953
2023-07-22,SP00458,Quần,7,1478458,10349206
2023-12-06,SP00262,Váy,3,1147364,3442092
2023-10-04,SP00276,Quần,9,275608,2480472
2023-06-08,SP00420,Túi xách,4,435999,1743996
2023-07-25,SP00214,Đầm,5,1966086,9830430
2023-06-03,SP00337,Mũ,1,256542,256542
2023-07-13,SP00476,Váy,10,645910,6459100
2023-01-28,SP00428,Túi xách,1,1552431,1552431
2023-05-22,SP00041,Giày,2,1507361,3014722
2023-05-05,SP00198,Quần,2,989455,1978910
2023-06-07,SP00135,Áo,2,1730169,3460338
2023-06-10,SP00399,Mũ,1,1411221,1411221
2023-09-08,SP00329,Phụ kiện,2,679715,1359430
2023-10-16,SP00390,Mũ,3,119340,358020
2023-10-30,SP00351,Áo,1,1691763,1691763
2023-03-19,SP00024,Quần,6,1851421,11108526
2023-03-27,SP00416,Túi xách,2,1355317,2710634
2023-07-04,SP00220,Quần,4,879969,3519876
2023-09-11,SP00116,Áo,7,986844,6907908
2023-03-07,SP00187,Phụ kiện,10,691288,6912880
2023-04-28,SP00276,Túi xách,8,210957,1687656
2023-11-18,SP00342,Phụ kiện,5,1801851,9009255
2023-07-15,SP00423,Đầm,10,465437,4654370
2023-06-20,SP00141,Phụ kiện,9,1206000,10854000
2023-11-16,SP00411,Váy,9,1117159,10054431
2023-04-24,SP00330,Mũ,4,1291908,5167632
2023-05-28,SP00452,Mũ,4,1664302,6657208
2023-05-16,SP00420,Phụ kiện,6,591446,3548676
2023-07-22,SP00180,Mũ,6,814580,4887480
2023-10-23,SP00124,Túi xách,5,287052,1435260
2023-12-08,SP00492,Giày,9,246090,2214810
2023-12-31,SP00214,Phụ kiện,9,1969197,17722773
2023-06-28,SP00249,Túi xách,4,722983,2891932
2023-04-09,SP00466,Đầm,6,278459,1670754
2023-10-30,SP00082,Giày,10,530329,5303290
2023-06-13,SP00158,Túi xách,9,476099,4284891
2023-05-19,SP00383,Giày,9,1334324,12008916
2023-01-24,SP00491,Váy,5,584765,2923825
2023-04-17,SP00171,Mũ,3,1787997,5363991
2023-03-09,SP00179,Váy,8,1209873,9678984
2023-09-06,SP00201,Áo,9,739229,6653061
2023-02-06,SP00247,Giày,7,1615743,11310201
2023-05-06,SP00277,Mũ,5,1475798,7378990
2023-05-07,SP00347,Mũ,1,798402,798402
2023-08-20,SP00243,Phụ kiện,10,1642609,16426090
2023-03-08,SP00298,Quần,3,666884,2000652
2023-06-07,SP00438,Áo,10,159654,1596540
2023-10-24,SP00103,Giày,4,602468,2409872
2023-06-22,SP00297,Áo,9,1993351,17940159
2023-09-13,SP00406,Giày,5,1551151,7755755
2023-08-03,SP00297,Mũ,7,496547,3475829
2023-12-22,SP00230,Giày,5,1308625,6543125
2023-11-14,SP00144,Váy,6,984320,5905920
2023-08-17,SP00232,Đầm,1,1532592,1532592
2023-04-21,SP00344,Váy,7,887270,6210890
2023-10-14,SP00279,Váy,5,870997,4354985
2023-12-08,SP00371,Váy,10,1646224,16462240
2023-06-13,SP00429,Túi xách,8,102587,820696
2023-08-07,SP00435,Áo,7,1051500,7360500
2023-06-23,SP00006,Phụ kiện,3,1489531,4468593
2024-01-01,SP00309,Váy,10,1030791,10307910
2023-10-16,SP00247,Túi xách,3,1033043,3099129
2023-02-15,SP00377,Giày,7,1818207,12727449
2023-02-19,SP00287,Váy,5,589006,2945030
2023-04-19,SP00279,Phụ kiện,10,168749,1687490
2023-07-11,SP00033,Mũ,4,1432537,5730148
2023-08-22,SP00275,Túi xách,1,337875,337875
2023-01-10,SP00434,Váy,1,210483,210483
2023-05-03,SP00009,Áo,4,1040859,4163436
2023-05-19,SP00184,Phụ kiện,6,1228835,7373010
2023-10-18,SP00247,Đầm,1,1628128,1628128
2023-05-05,SP00218,Giày,10,1648857,16488570
2023-09-14,SP00438,Túi xách,10,244114,2441140
2023-05-15,SP00322,Áo,8,191759,1534072
2023-03-05,SP00221,Phụ kiện,6,1340713,8044278
2023-02-09,SP00455,Giày,8,1289075,10312600
2023-05-03,SP00057,Mũ,3,1438125,4314375
2023-12-04,SP00252,Túi xách,7,773520,5414640
2023-05-15,SP00386,Mũ,7,107021,749147
2023-08-16,SP00272,Quần,7,380617,2664319
2023-11-03,SP00479,Đầm,10,168601,1686010
2023-04-21,SP00490,Mũ,4,574485,2297940
2023-08-15,SP00477,Mũ,5,1080229,5401145
2023-06-02,SP00249,Mũ,1,1174057,1174057
2023-10-20,SP00302,Váy,10,967036,9670360
2023-09-12,SP00078,Quần,1,1369391,1369391
2023-10-05,SP00350,Quần,1,400889,400889
2023-07-26,SP00003,Áo,2,1126862,2253724
2023-09-09,SP00207,Phụ kiện,5,493795,2468975
2023-07-20,SP00325,Váy,2,298630,597260
2023-05-02,SP00390,Áo,6,992999,5957994
2023-03-21,SP00007,Túi xách,4,723504,2894016
2023-08-04,SP00496,Quần,8,561335,4490680
2023-05-21,SP00068,Áo,9,1029588,9266292
2023-07-21,SP00130,Đầm,1,736711,736711
2023-10-02,SP00042,Váy,8,710456,5683648
2023-09-10,SP00481,Phụ kiện,3,267363,802089
2023-09-03,SP00405,Phụ kiện,7,1155308,8087156
2023-09-28,SP00103,Áo,10,1499963,14999630
2023-02-24,SP00207,Mũ,4,247941,991764
2023-05-23,SP00039,Giày,8,1503273,12026184
2023-01-24,SP00251,Túi xách,1,1601101,1601101
2023-11-02,SP00357,Đầm,10,588726,5887260
2023-03-08,SP00224,Quần,6,1283603,7701618
2023-02-22,SP00295,Phụ kiện,7,859372,6015604
2023-09-03,SP00331,Giày,3,1071938,3215814
2023-11-21,SP00489,Túi xách,9,513359,4620231
2023-09-12,SP00066,Áo,7,1157715,8104005
2023-03-10,SP00079,Quần,8,1892971,15143768
2023-11-16,SP00494,Váy,8,481708,3853664
2023-02-02,SP00481,Mũ,9,1338645,12047805
2023-12-10,SP00051,Đầm,9,606267,5456403
2023-09-01,SP00415,Đầm,1,392097,392097
2023-12-21,SP00262,Phụ kiện,9,823920,7415280
2023-11-30,SP00069,Váy,6,1301079,7806474
2023-08-09,SP00046,Đầm,10,1007190,10071900
2023-03-22,SP00127,Váy,7,1715357,12007499
2023-11-12,SP00133,Áo,5,163353,816765
2023-12-03,SP00190,Mũ,5,239145,1195725
2023-08-14,SP00118,Váy,5,380782,1903910
2023-12-01,SP00361,Túi xách,5,851526,4257630
2023-01-10,SP00360,Túi xách,6,541525,3249150
2023-01-17,SP00218,Phụ kiện,8,254231,2033848
2023-02-22,SP00369,Giày,2,723420,1446840
2023-04-04,SP00431,Mũ,4,1576956,6307824
2023-06-22,SP00166,Áo,5,1750951,8754755
2023-03-12,SP00158,Quần,4,1104574,4418296
2023-03-25,SP00482,Váy,8,1837372,14698976
2023-03-07,SP00095,Phụ kiện,4,1898966,7595864
2023-05-15,SP00249,Quần,6,694240,4165440
2023-12-31,SP00194,Quần,6,1642862,9857172
2023-01-31,SP00142,Áo,9,1010824,9097416
2023-05-31,SP00022,Đầm,2,146116,292232
2023-11-17,SP00406,Áo,10,836212,8362120
2023-08-14,SP00471,Túi xách,4,1975095,7900380
2023-04-20,SP00196,Áo,6,1162876,6977256
2023-01-21,SP00411,Đầm,9,1173542,10561878
2023-06-24,SP00331,Túi xách,6,720547,4323282
2023-01-18,SP00030,Váy,4,1160014,4640056
2023-06-30,SP00354,Quần,3,740078,2220234
2023-07-22,SP00085,Váy,4,1667185,6668740
2023-11-29,SP00434,Phụ kiện,1,442222,442222
2023-09-14,SP00322,Giày,7,1028783,7201481
2023-10-30,SP00328,Áo,3,793479,2380437
2023-04-11,SP00161,Váy,1,180016,180016
2023-03-20,SP00373,Váy,4,1827151,7308604
2023-01-07,SP00430,Đầm,4,494378,1977512
2023-11-24,SP00002,Quần,8,1451227,11609816
2023-07-27,SP00266,Váy,1,1251319,1251319
2023-11-27,SP00155,Quần,9,1288744,11598696
2023-05-17,SP00119,Phụ kiện,6,159458,956748
2023-03-09,SP00296,Phụ kiện,5,787573,3937865
2023-08-29,SP00382,Áo,2,1848893,3697786
2023-09-27,SP00065,Quần,8,119461,955688
2023-06-25,SP00137,Túi xách,1,1194093,1194093
2023-07-09,SP00152,Áo,1,895736,895736
2023-11-10,SP00325,Túi xách,2,766185,1532370
2023-01-27,SP00163,Mũ,2,1643022,3286044
2023-04-03,SP00086,Giày,9,581224,5231016
2023-04-14,SP00039,Đầm,2,1415011,2830022
2023-11-24,SP00208,Phụ kiện,6,1071664,6429984
2023-08-28,SP00314,Váy,1,1430314,1430314
2023-09-19,SP00465,Túi xách,6,399697,2398182
2023-08-18,SP00478,Mũ,7,329562,2306934
2023-09-05,SP00490,Váy,4,655337,2621348
2023-02-04,SP00069,Giày,5,1127900,5639500
2023-09-04,SP00308,Áo,6,798848,4793088
2023-01-20,SP00282,Phụ kiện,5,147287,736435
2023-02-24,SP00022,Váy,2,1884129,3768258
2023-02-22,SP00020,Áo,3,1316192,3948576
2023-12-14,SP00392,Giày,6,131837,791022
2023-09-17,SP00129,Mũ,10,807339,8073390
2023-07-07,SP00235,Váy,6,449341,2696046
2023-01-12,SP00095,Áo,8,254926,2039408
2023-02-26,SP00264,Giày,8,1282822,10262576
2023-04-05,SP00054,Mũ,2,1437263,2874526
2023-01-09,SP00385,Quần,9,1620139,14581251
2023-12-12,SP00136,Váy,10,1871352,18713520
2023-11-15,SP00340,Áo,3,382295,1146885
2023-05-18,SP00271,Mũ,7,974988,6824916
2023-03-15,SP00285,Đầm,1,1072670,1072670
2023-03-09,SP00338,Áo,4,667819,2671276
2023-10-05,SP00061,Phụ kiện,5,1772742,8863710
2023-01-21,SP00085,Phụ kiện,8,1326540,10612320
2023-11-25,SP00328,Giày,9,157931,1421379
2023-08-24,SP00146,Áo,8,1881814,15054512
2023-08-11,SP00307,Váy,4,259438,1037752
2023-05-31,SP00419,Đầm,9,991554,8923986
2023-02-23,SP00281,Phụ kiện,7,1874908,13124356
2023-08-30,SP00200,Đầm,8,1712056,13696448
2023-12-18,SP00134,Túi xách,6,1399082,8394492
2023-04-22,SP00500,Váy,2,1240721,2481442
2023-03-30,SP00280,Váy,10,425907,4259070
2023-01-23,SP00112,Váy,4,808437,3233748
2023-02-18,SP00317,Váy,4,1593172,6372688
2023-06-30,SP00249,Giày,1,1788196,1788196
2023-02-10,SP00459,Giày,8,511566,4092528
2023-03-30,SP00188,Mũ,5,1353718,6768590
2023-07-16,SP00428,Giày,4,1399216,5596864
2023-09-28,SP00156,Mũ,6,563611,3381666
2023-06-04,SP00335,Đầm,4,1921061,7684244
2023-01-25,SP00021,Phụ kiện,9,1890327,17012943
2023-07-23,SP00242,Phụ kiện,10,1392473,13924730
2023-07-14,SP00497,Mũ,9,108466,976194
2023-11-27,SP00429,Mũ,4,1776091,7104364
2023-09-26,SP00449,Mũ,3,540041,1620123
2023-05-27,SP00424,Váy,10,1194315,11943150
2023-11-15,SP00352,Mũ,10,913057,9130570
2023-10-21,SP00423,Mũ,8,748857,5990856
2023-03-26,SP00257,Áo,4,814861,3259444
2023-07-01,SP00059,Phụ kiện,10,230102,2301020
2023-09-16,SP00413,Áo,7,241146,1688022
2023-05-09,SP00238,Quần,9,1857616,16718544
2023-05-02,SP00344,Túi xách,5,693973,3469865
2023-12-24,SP00020,Mũ,5,1094993,5474965
2023-01-13,SP00195,Áo,3,492168,1476504
2023-02-09,SP00056,Váy,4,1543140,6172560
2023-03-31,SP00068,Váy,4,1541289,6165156
2023-05-28,SP00220,Quần,8,631570,5052560
2023-03-18,SP00084,Mũ,8,405860,3246880
2023-11-22,SP00484,Đầm,4,566794,2267176
2023-01-02,SP00350,Túi xách,7,559407,3915849
2023-08-22,SP00062,Phụ kiện,7,625555,4378885
2023-06-21,SP00160,Quần,10,331569,3315690
2023-06-15,SP00139,Mũ,9,1116947,10052523
2023-01-05,SP00149,Quần,5,642944,3214720
2023-01-13,SP00176,Mũ,5,287488,1437440
2023-08-24,SP00394,Phụ kiện,3,564175,1692525
2023-12-25,SP00353,Giày,2,1330491,2660982
2023-09-14,SP00017,Mũ,5,239756,1198780
2023-02-18,SP00348,Túi xách,7,965519,6758633
2023-08-02,SP00048,Mũ,10,971533,9715330
2023-11-06,SP00435,Quần,10,1873632,18736320
2023-10-11,SP00156,Túi xách,8,543216,4345728
2023-02-19,SP00121,Quần,6,1137094,6822564
2023-11-08,SP00174,Phụ kiện,2,726926,1453852
2023-06-26,SP00080,Mũ,4,567633,2270532
2023-12-20,SP00441,Đầm,9,1414821,12733389
2023-06-22,SP00490,Quần,6,1319784,7918704
2023-05-28,SP00458,Quần,5,1131968,5659840
2023-12-04,SP00096,Áo,3,1963124,5889372
2023-02-19,SP00450,Áo,4,916171,3664684
2023-08-30,SP00276,Phụ kiện,1,1564523,1564523
2023-02-26,SP00448,Phụ kiện,4,1259193,5036772
2023-04-20,SP00261,Áo,2,1525882,3051764
2023-09-05,SP00080,Phụ kiện,9,1254521,11290689
2023-07-03,SP00199,Phụ kiện,6,457596,2745576
2023-06-05,SP00315,Mũ,6,511264,3067584
2023-11-27,SP00056,Váy,9,760203,6841827
2023-12-24,SP00180,Túi xách,4,1953121,7812484
2023-06-11,SP00275,Quần,10,1789635,17896350
2023-03-22,SP00261,Mũ,10,1979992,19799920
2023-04-09,SP00324,Áo,7,648727,4541089
2023-09-08,SP00389,Túi xách,8,189177,1513416
2023-05-15,SP00024,Túi xách,8,1247962,9983696
2023-12-28,SP00095,Mũ,5,250925,1254625
2023-06-15,SP00293,Túi xách,8,1247197,9977576
2023-10-24,SP00087,Quần,1,1240087,1240087
2023-01-03,SP00488,Quần,8,507465,4059720
2023-09-05,SP00280,Váy,2,1553779,3107558
2023-04-07,SP00315,Đầm,5,748057,3740285
2023-01-22,SP00139,Túi xách,4,244020,976080
2023-09-19,SP00008,Đầm,3,594218,1782654
2023-10-19,SP00451,Phụ kiện,3,1366359,4099077
2023-05-14,SP00106,Mũ,1,1634056,1634056
2023-03-30,SP00135,Mũ,10,1666196,16661960
2023-11-07,SP00276,Đầm,4,490497,1961988
2023-05-19,SP00336,Phụ kiện,8,1765788,14126304
2023-03-11,SP00500,Phụ kiện,9,1648895,14840055
2023-02-19,SP00159,Mũ,4,133517,534068
2023-01-08,SP00410,Quần,3,986788,2960364
2023-09-14,SP00447,Mũ,7,1396917,9778419
2023-02-05,SP00241,Quần,4,304353,1217412
2023-02-22,SP00050,Áo,8,1172637,9381096
2023-06-18,SP00025,Váy,8,1802223,14417784
2023-09-02,SP00391,Mũ,9,1713929,15425361
2023-01-04,SP00302,Váy,10,1215942,12159420
2023-11-29,SP00347,Giày,1,1116990,1116990
2023-05-13,SP00304,Phụ kiện,1,1822152,1822152
2023-03-25,SP00395,Mũ,9,1837443,16536987
2023-12-07,SP00028,Quần,7,1261492,8830444
2023-07-25,SP00117,Túi xách,5,1670712,8353560
2023-10-21,SP00004,Mũ,7,1813818,12696726
2023-07-13,SP00064,Quần,8,1348653,10789224
2023-10-25,SP00494,Phụ kiện,2,278791,557582
2023-04-17,SP00340,Túi xách,8,1886461,15091688
2023-03-14,SP00209,Áo,9,1316643,11849787
2023-11-25,SP00196,Quần,2,377328,754656
2023-02-09,SP00268,Quần,1,409235,409235
2023-09-29,SP00156,Quần,5,1153353,5766765
2023-09-01,SP00453,Váy,10,1304869,13048690
2023-12-16,SP00216,Giày,1,1662732,1662732
2023-09-01,SP00464,Váy,8,1159693,9277544
2023-05-30,SP00352,Đầm,4,1504054,6016216
2023-02-26,SP00046,Quần,5,567625,2838125
2023-03-05,SP00124,Giày,3,1746591,5239773
2023-10-19,SP00081,Túi xách,4,1649340,6597360
2023-11-02,SP00184,Túi xách,9,260200,2341800
2023-06-16,SP00097,Váy,5,341478,1707390
2023-04-25,SP00485,Phụ kiện,5,1204447,6022235
2023-08-07,SP00131,Áo,5,1526085,7630425
2023-06-12,SP00334,Mũ,8,1551992,12415936
2023-10-23,SP00119,Giày,10,1658976,16589760
2023-11-13,SP00039,Quần,8,1398286,11186288
2023-02-11,SP00263,Quần,6,1552614,9315684
2023-09-05,SP00218,Túi xách,7,571719,4002033
2023-10-20,SP00329,Váy,5,1477382,7386910
2023-03-20,SP00414,Quần,3,1177011,3531033
2023-08-22,SP00088,Phụ kiện,7,481904,3373328
2023-06-10,SP00404,Áo,1,951045,951045
2023-04-13,SP00407,Mũ,4,1094389,4377556
2023-12-26,SP00445,Phụ kiện,10,1038050,10380500
2023-08-25,SP00116,Váy,7,1677806,11744642
2023-10-31,SP00398,Mũ,8,392165,3137320
2023-05-10,SP00438,Quần,3,1231405,3694215
2023-05-28,SP00064,Phụ kiện,7,360205,2521435
2023-12-23,SP00451,Mũ,1,416338,416338
2023-09-25,SP00209,Quần,1,1450091,1450091
2023-06-30,SP00401,Giày,6,771945,4631670
2023-06-13,SP00053,Đầm,7,1071232,7498624
2023-04-12,SP00193,Váy,9,281055,2529495
2023-06-13,SP00453,Mũ,1,525567,525567
2023-08-21,SP00455,Váy,1,1208803,1208803
2023-08-16,SP00056,Áo,4,1970646,7882584
2023-11-29,SP00284,Váy,8,1013677,8109416
2023-08-04,SP00323,Giày,10,1036970,10369700
2023-11-04,SP00191,Mũ,1,1005988,1005988
2023-03-22,SP00026,Mũ,8,1383734,11069872
